リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
koala73/worldmonitor,TypeScript,World Monitor は500以上のニュースフィードや65以上の外部プロバイダーから地政学・経済・気候・航空・サイバーなど15カテゴリーの情報を収集し、AIで要約・相関分析するリアルタイム状況把握ダッシュボード。3Dグローブとデック.glベースのWebGLマップを組み合わせ、56種のレイヤーで可視化する。,https://github.com/koala73/worldmonitor,15518,"・31のTier-1国を対象に独自の「国家不安定性指数(CII)」をサーバー権威型スコアリングで算出
・Tauri 2(Rust)によるデスクトップ版とVite/Three.js製Webフロントエンド、Ollama/Groq/OpenRouter連携のAI要約
・25言語・RTL対応、world/tech/finance/commodityなど6つのサイトバリアントを単一コードベースで展開",アナリストやジャーナリスト、リスク管理担当者が世界情勢を俯瞰的にモニタリングするツールとして活用できそうだ。オープンソースかつAPI/SDK提供もあるため、自社の意思決定支援ダッシュボードに組み込むカスタム地政学モニタリングの土台としても応用が利く。,,
catchorg/Catch2,C++,Catch2はC++14/C++17以降向けに設計されたモダンなテストフレームワークで、単体テストに加えて簡易的なBDDマクロやマイクロベンチマーク機能も備えています。v3ではシングルヘッダーから複数ヘッダー・個別コンパイル方式に移行し、外部依存なしで導入できます。,https://github.com/catchorg/Catch2,1068,"・テスト名が識別子である必要がなく、アサーションが通常のC++論理式のように書ける自然な記法
・セクション機能によりセットアップ/ティアダウンをきれいに共有できる構造
・21万超のスターを持ち商用・OSS問わず広く採用されている実績",既存のCIパイプラインに組み込みやすく、TDD/BDDスタイルでのC++開発を始めたいチームに向いています。依存なしで導入コストが低いため、レガシーC++プロジェクトへのテスト文化導入にも活用できそうです。,BSL-1.0,
iOfficeAI/OfficeCLI,C#,OfficeCLIはAIエージェント向けに設計されたOffice自動化ツールで、Office本体を一切インストールせずにWord・Excel・PowerPointの読み書き・編集を単一バイナリで行えます。独自のHTMLレンダリングエンジンでドキュメントを高精度にプレビューでき、AIが生XMLを推測する代わりに実際の見た目を確認しながら編集できます。,https://github.com/iOfficeAI/OfficeCLI,14798,"・350以上のExcel関数評価やOOXMLピボットテーブル生成をOffice無しで実現
・`/slide[1]/shape[2]`のようなパスベースのアクセスでエージェントが直感的に要素を操作可能
・JSON出力・自己修正ヒント付きエラーコードなどAIエージェント連携を前提とした設計",Claude CodeやCursorなどのAIコーディング環境から、レポート生成や資料作成を自動化するパイプラインに組み込めます。テンプレートへのプレースホルダー差し込み機能はレポートの定型作成や大量ドキュメント生成の効率化に有効です。,Apache-2.0,
Robbyant/lingbot-map,Python,lingbot-mapは、ストリーミング入力される映像から3Dシーンをリアルタイムに復元するフィードフォワード型の基盤モデルです。反復的な最適化を行わず、連続するカメラ映像から動的な点群とカメラ姿勢を生成します。,https://github.com/Robbyant/lingbot-map,7904,"・座標グラウンディング、密な幾何理解、ドリフト補正を単一のストリーミング枠組みで統合するGeometric Context Transformer構造
・ページ化KVキャッシュによる高効率推論で1万フレーム超の系列を約20FPSで処理
・ブラウザベースのインタラクティブビューアと長尺シーケンス向けオフラインレンダリングを両方提供",ロボティクスやAR/VRにおけるリアルタイム空間認識、ドローンや車載カメラを用いたマッピングなど、逐次入力からの3D再構築が必要な用途に応用できそうです。反復最適化不要な設計は低遅延処理が求められる現場デモにも向いています。,Apache-2.0,
bradautomates/claude-video,Python,claude-videoは、動画のダウンロード・フレーム抽出・音声文字起こしを自動で行い、その結果をClaudeに渡すことで動画の内容を理解させるツールです。URLを渡して質問するだけで動画分析ができます。,https://github.com/bradautomates/claude-video,9150,"・キーフレームのみ抽出する高速モードからシーン変化検出、トークン消費重視モードまで複数の詳細度モードを用意
・グレースケールサムネイル比較による類似フレームの自動重複排除でトークン予算を節約
・yt-dlpによる無料の字幕取得を優先し、必要な場合のみWhisper API(Groq/OpenAI)にフォールバック",画面録画のデバッグ、競合動画の分析、長尺動画の要約など、動画を目視確認する代わりにAIに分析させたい場面で活用できます。Claude Code、Cursor、Codexなど複数のAI開発環境で使える点も実用性が高いです。,MIT,
wonderwhy-er/DesktopCommanderMCP,TypeScript,Desktop Commander MCPは、ClaudeにターミナルやOS上のファイルシステムを操作する能力を与えるMCPサーバーです。コマンド実行、ファイル読み書き、差分ベースのコード編集などをClaude Desktop上で直接行えるようにします。,https://github.com/wonderwhy-er/DesktopCommanderMCP,2834,"・長時間実行プロセスの管理やセッション出力ストリーミングなどターミナル統合機能
・あいまい一致フォールバック付きのsearch/replaceによる精密なコード編集
・シンボリックリンク経路の遮断やコマンドのブロックリストなどセキュリティ機能、Dockerでの隔離も選択可能",CursorやWindsurfのようなエディタ内ツールとは異なり、システム全体で動作するためマルチプロジェクトの横断的な自動化に向いています。Claude Pro契約のみでAPIクレジット不要という点も、個人開発者が日常のPC操作を自動化する際の障壁を下げます。,MIT,
xbtlin/ai-berkshire,Python,ai-berkshireは、バフェット・マンガー・段永平・李録という4人の著名投資家の思考法をAIエージェントとして実装し、それぞれが独立に企業分析を行い互いの結論に反論し合うバリュー投資リサーチフレームワークです。,https://github.com/xbtlin/ai-berkshire,9727,"・4エージェントが並行して独立調査を行い意図的に対立させることで、当たり障りのない「バランス分析」に陥るのを防ぐマルチエージェント設計
・`financial_rigor.py`でDecimal型を用いた高精度な財務計算とクロスソース検証を実施
・情報の確度をA/B/Cで格付けし、マンガー流の逆チェックリスト分析で明確なgo/no-go判定を強制",個人投資家がAIによる株式リサーチを行う際、単なる要約ではなく明確な結論を得たい場合に有効です。作者が実際の証券口座で運用しリターンを公開している点から、実運用を意識した投資判断支援ツールとしての説得力があります。,MIT,
openai/codex-plugin-cc,JavaScript,codex-plugin-ccは、OpenAIのCodexをClaude Codeから呼び出せるようにするプラグインで、ワークフローを離れずにコードレビューやタスクの委任ができます。,https://github.com/openai/codex-plugin-cc,8654,"・`/codex:review`や設計への反論を促す`/codex:adversarial-review`などのコマンドを提供
・バックグラウンドジョブの状態確認・結果取得・キャンセルに対応
・Codexの問題検出時にClaudeの応答をブロックできるレビューゲート機能",Claude CodeとCodexという異なるAIコーディングアシスタントを併用し、片方に実装させもう片方にレビューさせるダブルチェック体制を構築できます。既存のCodex CLI認証をそのまま使えるため、両ツールの利用者にとって導入コストが低い点も注目です。,Apache-2.0,
ocornut/imgui,C++,Dear ImGuiは、最小限の依存関係でC++向けの軽量なグラフィカルUIを実現するイミディエイトモードGUIライブラリです。エンドユーザー向けアプリよりも開発ツールやデバッグUI、可視化用途を主眼に設計されています。,https://github.com/ocornut/imgui,1366,"・レンダラー非依存で、DirectX・OpenGL・Vulkan・Metal・WebGPUなど任意のグラフィックスAPI向けに頂点バッファを出力
・イミディエイトモードによりステートの二重管理を避け、状態同期のオーバーヘッドを削減
・約20の公式バックエンドで多様なプラットフォームに対応し、7万5千超のスター・多数のゲームスタジオやツール(Tracy、ImHexなど)で採用",リアルタイム3Dアプリケーションのデバッグオーバーレイやツール開発用UI、組み込み系のGUIなど、軽量さと即応性が求められる場面に最適です。実装がシンプルで特別なビルドプロセスを要しないため、既存のC++プロジェクトへの組み込みも容易です。,MIT,
HKUDS/Vibe-Trading,Python,Vibe-Tradingは、自律型AIエージェントと定量分析基盤を組み合わせた「パーソナルトレーディングエージェント」で、市場調査から戦略立案、バックテスト、複数ブローカーでの発注までを支援します。,https://github.com/HKUDS/Vibe-Trading,14460,"・Claude・DeepSeek・Geminiなど20以上のLLMプロバイダーに対応するマルチターンエージェントと、仮説生成からバックテストまでを繋ぐ「Research Autopilot」
・Qlib158・Alpha101・GTJA191など4種のアルファライブラリから成る452個の事前構築済み定量ファクター
・IBKRやAlpaca、Binanceなど10のブローカー接続と、監査証跡付きのペーパートレード/実弾発注のゲート機構",個人のクオンツリサーチャーやアルゴリズムトレーダーが、仮説検証からライブ運用までを一気通貫で行う基盤として活用できます。ルックアヘッド防止などのバックテスト保護機構が整っているため、研究用途としての信頼性が高い点が特徴です。,MIT,
DeusData/codebase-memory-mcp,C,codebase-memory-mcpは、コードベース全体を永続的なナレッジグラフとしてインデックス化する高性能MCPサーバーで、AIコーディングエージェントがコード構造を深く理解できるようにします。158言語のtree-sitter文法を単一の静的バイナリに組み込んでおり、依存関係なしで動作します。,https://github.com/DeusData/codebase-memory-mcp,17707,"・Linuxカーネル(2800万行・7.5万ファイル)を3分でインデックス化し、構造クエリに1ミリ秒未満で応答
・ファイル単位の探索と比べてトークン消費量を99%削減
・Python、TypeScript、Go、Rustなど12言語でハイブリッドLSPによる意味解析型の型解決に対応",大規模モノレポでAIエージェントに実装調査をさせる際、逐次ファイル読み込みに比べて劇的にトークンコストを抑えられます。Claude CodeやCursorなど43種のコーディングエージェントに自動設定できる点も、既存ワークフローへの導入障壁を下げています。,MIT,
OpenCut-app/OpenCut,TypeScript,OpenCutは、CapCutの代替となることを目指すオープンソースの動画編集プラットフォームで、Web・デスクトップ・モバイルで動作します。現在Rustコアを軸にした大規模な作り直しが進行中です。,https://github.com/OpenCut-app/OpenCut,19507,"・Rustコアが単一コードベースからデスクトップ・モバイル・ブラウザにコンパイルされる統一アーキテクチャ
・サードパーティプラグインを第一級市民として扱うプラグイン設計とプログラム制御用のEditor API
・ヘッドレスでのバッチレンダリングやスクリプティング、AIエージェント向けMCPサーバーとしての機能も計画",商用の動画編集ソフトに依存したくないクリエイターやコミュニティにとって、透明性の高い代替ツールとなり得ます。Editor APIやヘッドレスモードは、動画生成の自動化パイプラインやAIエージェントとの連携にも応用が期待できます。,MIT,
