リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
K-Dense-AI/scientific-agent-skills,Python,AIエージェントを「AI科学者」に変えるための、165個のバリデーション済みスキル集。生物学・化学・医学・計算科学など幅広い分野をカバーし、PubChemやUniProtなど78の公開データベースへの統一的アクセス手段も提供する。,https://github.com/K-Dense-AI/scientific-agent-skills,4718,"・Agent Skills仕様に準拠したSKILL.md形式で、Cursor・Claude Code・Codex・Google Antigravityなど複数のAIエージェントホストで利用可能
・RDKitやScanpyなど70以上のPython科学計算パッケージや100以上のデータベース連携スキルを網羅し、npx skills addやgh skill installで手軽に導入できる
・週次のセキュリティスキャンやPRごとの構造検証など、スキルの品質・出所管理(プロブナンス)の仕組みが整っている",創薬・ゲノミクス・臨床研究など専門性の高いタスクをAIエージェントに委任する際、ドメイン知識をスキルとして注入できる点が実務的に有用。研究者が個別にAPI連携コードを書く手間を省き、Claude Codeなどのエージェント環境に段階的に必要なスキルだけを組み込める点は既存のプラグインエコシステムとも相性が良い。,MIT License,
tailscale/tailcat,Go,netcatのようにマシン間でデータをやり取りできるツールだが、Tailscaleのコントロールプレーンやアカウントを必要とせず、WireGuardベースのデータプレーンだけを使って通信する。DERPリレー経由の鍵交換とNAT越えにより、サーバー・クライアント間で直接またはリレー経由の暗号化接続を確立する。,https://github.com/tailscale/tailcat,2467,"・Tailscaleのmagicsock・DERPリレー・gVisor netstackといった内部コンポーネントを、Tailscaleアカウントなしで単体利用できる設計
・stdin/stdoutパイプ、ローカルTCPポートの公開、公開鍵認証のSSHサーバー、SFTP転送、SOCKS5プロキシ、Exit Node機能など多彩な用途をCLI/Goライブラリとして提供
・root権限やOSレベルのネットワーク設定変更なしで動作する点がセキュリティ・運用面で注目される",一時的なリモートシェルやファイル転送、閉域網超えの通信確認など、netcat的な用途をより安全な暗号化トンネル越しに行いたい場面で活用できそう。Tailscaleの技術基盤を軽量なCLIツールとして切り出した実験的プロジェクトであり、Goライブラリとして自作ツールに組み込むこともできる。,BSD-3-Clause License,
colinhacks/zod,TypeScript,TypeScript向けのスキーマ検証ライブラリで、スキーマを定義するとランタイムでのバリデーションと同時に静的型推論(z.infer)が得られる。外部依存ゼロ、gzip後2KBという軽量さを保ちながらNode.jsとモダンブラウザの両方で動作する。,https://github.com/colinhacks/zod,277,"・バリデーションと型定義を二重管理せずに済むアプローチがTypeScriptコミュニティで長年支持されている
・AOTコンパイルによる高速パス実装で有効な入力に対して中央値2.4倍の高速化を実現するなど、パフォーマンス面の改善が継続的に行われている
・43.9万近いスター数を持つ定番ライブラリとして、JSON Schema変換や豊富なエコシステムとの連携が進んでいる",フォームバリデーション、API入出力のスキーマ定義、tRPCなどとの型安全な連携基盤として既に多くのTypeScriptプロジェクトで採用されており、パフォーマンス改善は既存導入プロジェクトのアップデート動機になりそう。バックエンド・フロントエンド双方の型安全性を高めたいプロジェクトの標準選択肢として引き続き有用。,MIT License,
ChromeDevTools/chrome-devtools-mcp,TypeScript,AIコーディングエージェントがChrome DevToolsの機能を使ってブラウザを操作・検査できるようにするMCPサーバー。Puppeteerを介してChromeを制御し、パフォーマンストレースの取得、ネットワークリクエストの解析、スクリーンショット撮影、コンソールログの確認などをエージェントから実行可能にする。,https://github.com/ChromeDevTools/chrome-devtools-mcp,965,"・Claude・Cursor・Copilotなど各種AIアシスタントからMCP経由で実ブラウザを操作でき、結果の自動検証を伴う信頼性の高い自動化を実現
・Chrome DevToolsのパフォーマンス分析機能をエージェントのデバッグ・最適化ワークフローに統合できる点が新しい
・Google公式のChromeDevToolsチームが提供しており、非MCP用途向けのCLIも用意されている",フロントエンド開発でAIエージェントに「実際にページを開いて確認・デバッグさせる」ワークフローを組み込みたい場合に直結して使える。E2Eテストやパフォーマンス改善の自動化パイプラインに組み込むことで、人手によるブラウザ確認作業を大幅に削減できそう。,Apache License 2.0,
affaan-m/ECC,JavaScript,ECCはClaude CodeやCodex、Cursorなど複数のAIコーディングエージェント向けの「エージェントハーネス」最適化システムです。68種類のエージェント、286のスキル、94のコマンドを備え、計画・実装・レビュー・検証・記憶・改善というワークフローを一貫して支援します。,https://github.com/affaan-m/ECC,6394,"・エージェント横断で使えるMarkdown形式の「Memory Vault」により、ベンダー間でナレッジを持ち運べる点が特徴
・AgentShieldによるプロンプト/フック/MCP設定のセキュリティスキャン機能を内蔵
・スキル優先の設計思想へ移行しつつ、後方互換のためコマンド体系も維持している点が実践的",複数のAIコーディングツールを併用しているチームが、ナレッジやレビュー基準を統一管理する基盤として導入できそうです。特にセキュリティレビューや大規模リポジトリでの再現性のある開発フローを求めるプロジェクトと相性が良いと考えられます。,MIT License,
Lakr233/vphone-cli,Swift,AppleのVirtualization.frameworkとPCCリサーチVMのインフラを利用して、Apple Silicon Mac上に仮想iPhoneを起動・管理するコマンドラインツール。ファームウェアのダウンロードからパッチ適用、DFUリストア、初回起動までを1コマンドで自動化する。,https://github.com/Lakr233/vphone-cli,1478,"・セキュリティ回避が最小限の""less""パッチから完全なジェイルブレイクを行う""jb""、さらに仮想化検知回避を試みる実験的パッチまで、5段階のファームウェアバリエーションを選択可能
・SSHやVNCによる仮想iPhoneへのアクセス、VMの複製・エクスポート・削除など運用機能が一通り揃っている
・実機を使わずローカルでiOSの挙動やアプリの動作をセキュリティ研究・検証できる点がユニーク",iOSアプリの動作検証やジェイルブレイク環境でのセキュリティリサーチを、実機を用意せず手元のApple Siliconマシンだけで完結させたい開発者・研究者に向く。macOS 15以降とApple Silicon限定という制約はあるものの、CI的な自動テスト環境の構築にも応用できそう。,MIT License,
every-app/open-seo,TypeScript,SemrushやAhrefsのようなSEO分析機能をオープンソースで提供するツールで、キーワードリサーチや順位トラッキング、競合・被リンク分析、サイト監査、AI検索での可視性評価などをカバーする。DataForSEOのAPIキーを自前で用意するペイアズユーゴー型の料金モデルにより、月額サブスクリプション不要で利用できる。,https://github.com/every-app/open-seo,2503,"・MCPサーバーやエージェントスキルを組み込んだ「AI-ready」設計で、Claude CodeなどAIアシスタントから直接SEO分析を実行できる
・Docker(個人利用)とCloudflare(チーム・公開利用)という2種類のセルフホスト手段が用意されている
・「肥大化した複雑なSEOスイート」ではなく用途ごとのフォーカスされたワークフローを重視する設計思想",高額な商用SEOツールの契約を避けつつ、自社サービスのSEO分析基盤を自前で構築したいチームに向く。特にAIエージェント連携を前提としたMCP対応は、既存のClaude Codeベースの開発ワークフローにSEO分析タスクを組み込みたい場合に相性が良さそう。,MIT License,
DietrichGebert/ponytail,JavaScript,AIコーディングエージェントに「書かなくていいコードは書かない」という怠惰(ラジー)な熟練エンジニアの思考様式を植え付けるプラグインです。コードを書く前に再利用や標準ライブラリの活用を検討させる判断フローを組み込みます。,https://github.com/DietrichGebert/ponytail,12186,"・lite/full/ultra/offの4段階でエージェントの過剰実装抑制の強度を切り替え可能
・`/ponytail-review`や`/ponytail-audit`で差分やリポジトリ全体の過剰設計を検出
・自社ベンチマークでコード行数を約54%、トークン消費を約22%、コストを約20%削減したと報告している点が注目点",AIエージェントが不要なライブラリや過剰な抽象化を導入しがちだと感じている開発チームに向いています。Claude CodeやCursor、GitHub Copilot CLIなど20以上のプラットフォームで横断的に使えるため、既存の開発環境に追加しやすい点も実用的です。,MIT License,
majd/ipatool,Go,iOS/iPadOS/tvOS/visionOSおよびmacOS向けのアプリパッケージ(.ipa/.pkg)をコマンドラインから検索・ダウンロードできるGo製ツール。Apple IDでの認証を経て、購入済みアプリの一覧表示や特定バージョンの取得も行える。,https://github.com/majd/ipatool,893,"・検索・認証・ダウンロード・購入履歴確認をそれぞれ独立したサブコマンドとして提供し、JSON/テキスト出力や非対話モードにも対応
・Windows/Linux/macOSでクロスプラットフォームに動作し、Go言語製で単一バイナリとして配布できる
・iOSアプリのリバースエンジニアリングや旧バージョンアプリの入手など、App Store公式UIでは難しい用途に対応",旧バージョンのアプリを検証目的で入手したい開発者や、脆弱性診断・リバースエンジニアリングを行うセキュリティ研究者にとって定番ツールとなり得る。CI環境でのアプリ配布や自動テストのためのipa取得スクリプトに組み込む使い方も考えられる。,MIT License,
punkpeye/awesome-mcp-servers,,AIモデルが外部ツールやサービスと連携するためのプロトコルであるMCP(Model Context Protocol)のサーバー実装をまとめたAwesomeリスト。多数のMCPサーバーを分野別に整理し、実装を探す際の事実上のレジストリとして機能している。,https://github.com/punkpeye/awesome-mcp-servers,1326,"・9万4千以上のスターと1万5千以上のフォークを持ち、MCPエコシステムのデファクトスタンダードなカタログとなっている
・日本語・韓国語・ポルトガル語(ブラジル)・タイ語・簡体字/繁体字中国語・ペルシャ語など多言語のREADMEを提供し、グローバルなコミュニティを反映
・コントリビューションガイドラインが整備され、活発なPRベースの更新が続いている",Claude CodeなどMCP対応のAIエージェントに新しい外部連携機能を追加したいとき、まず参照すべきカタログとして実用性が高い。ゼロから自作MCPサーバーを書く前に、既存実装が無いか確認する起点として日常的な開発フローに組み込みやすい。,MIT License,
Imbad0202/academic-research-skills,Python,Claude Code上で動作する、学術論文執筆のための「研究→執筆→査読→改訂」という一連のワークフローを支援するスキル集。深層リサーチ・論文執筆・査読・パイプライン統括という4つの連携するスキルで構成され、各段階に人間の確認を挟みながら進める。,https://github.com/Imbad0202/academic-research-skills,2334,"・13エージェントによるリサーチチーム、12エージェントの執筆パイプライン、7エージェントの査読システムなど、役割分担された多数のサブエージェント構成が特徴
・Semantic Scholar・OpenAlex・Crossref・arXivの4つの文献データベースに対する決定論的な引用検証や、三層構造の引用アンカリングなど、ハルシネーション対策の仕組みが充実
・レビュアーの迎合(sycophancy)を防ぐ譲歩閾値や対話健全性の指標など、AI特有の失敗モードに対する具体的な緩和策を実装",「AIはコパイロットであってパイロットではない」という設計思想の通り、論文の主導権を人間に残しつつ文献調査・引用検証・査読といった定型作業をAIに任せたい研究者に向く。IMRaDや文献レビューなど複数の論文形式、APAやIEEEなど複数の引用形式に対応しており、既存の学術執筆ワークフローに段階的に組み込みやすい設計になっている。,CC-BY-NC 4.0,
